document_id,title,abstract_length,has_chemicals,has_diseases,has_relations
2559236,Effect of converting enzyme inhibition on the course of adriamycin-induced nephropathy.,249,Yes,Yes,Yes
21029050,Butyrylcholinesterase gene mutations in patients with prolonged apnea after succinylcholine for elec...,219,Yes,Yes,Yes
10901305,Ketamine sedation for the reduction of children's fractures in the emergency department.,409,Yes,Yes,Yes
19037603,Prophylactic use of lamivudine with chronic immunosuppressive therapy for rheumatologic disorders.,251,Yes,Yes,Yes
20084309,Safety of transesophageal echocardiography in adults: study in a multidisciplinary hospital.,270,Yes,Yes,Yes
8231633,Effects of calcium channel blockers on bupivacaine-induced toxicity.,136,Yes,Yes,Yes
10091617,Selegiline-induced postural hypotension in Parkinson's disease: a longitudinal study on the effects ...,263,Yes,Yes,Yes
19269743,Explicit episodic memory for sensory-discriminative components of capsaicin-induced pain: immediate ...,242,Yes,Yes,Yes
3070035,Reversibility of captopril-induced renal insufficiency after prolonged use in an unusual case of ren...,77,Yes,Yes,Yes
1147734,Liver disease caused by propylthiouracil.,46,Yes,Yes,Yes
12202650,Capsaicin-induced muscle pain alters the excitability of the human jaw-stretch reflex.,164,Yes,Yes,Yes
18951540,Repetitive transcranial magnetic stimulation for levodopa-induced dyskinesias in Parkinson's disease...,205,Yes,Yes,Yes
19657887,Disulfiram-like syndrome after hydrogen cyanamide professional skin exposure: two case reports in Fr...,188,Yes,Yes,Yes
9660111,Repeated trimipramine induces dopamine D2/D3 and alpha1-adrenergic up-regulation.,246,Yes,Yes,Yes
11431197,Ranitidine-induced acute interstitial nephritis in a cadaveric renal allograft.,87,Yes,Yes,Yes
7449470,"Late, late doxorubicin cardiotoxicity.",59,Yes,Yes,Yes
8170551,Acetazolamide-induced nephrolithiasis: implications for treatment of neuromuscular disorders.,69,Yes,Yes,Yes
2476560,Is the treatment of scabies hazardous?,106,Yes,Yes,Yes
19803309,Anaesthetists' nightmare: masseter spasm after induction in an undiagnosed case of myotonia congenit...,48,Yes,Yes,Yes
18821488,Toxicity in rhesus monkeys following administration of the 8-aminoquinoline 8-[(4-amino-l-methylbuty...,240,Yes,Yes,Yes
8372922,Neuroplasticity of the adult primate auditory cortex following cochlear hearing loss.,159,Yes,Yes,Yes
9195768,The site of common side effects of sumatriptan.,61,Yes,Yes,Yes
15338796,"Tremor side effects of salbutamol, quantified by a laser pointer technique.",295,Yes,Yes,Yes
12627929,Increased frequency of venous thromboembolism with the combination of docetaxel and thalidomide in p...,166,Yes,Yes,Yes
6634932,"Sublingual absorption of the quaternary ammonium antiarrhythmic agent, UM-272.",76,Yes,Yes,Yes
18791946,Severe thrombocytopenia and haemolytic anaemia associated with ciprofloxacin: a case report with fat...,140,Yes,Yes,Yes
17344566,Simvastatin-induced bilateral leg compartment syndrome and myonecrosis associated with hypothyroidis...,58,Yes,Yes,Yes
9293063,Bile duct hamartoma occurring in association with long-term treatment with danazol.,61,Yes,Yes,Yes
1728522,Granulomatous hepatitis due to combination of amoxicillin and clavulanic acid.,78,Yes,Yes,Yes
10807237,Intracranial aneurysms and cocaine abuse: analysis of prognostic indicators.,226,Yes,Yes,Yes
12536034,Anti-epileptic drugs-induced de novo absence seizures.,151,Yes,Yes,Yes
7234705,Procainamide-induced polymorphous ventricular tachycardia.,136,Yes,Yes,Yes
8955532,Role of activation of bradykinin B2 receptors in disruption of the blood-brain barrier during acute ...,112,Yes,Yes,Yes
2578334,5-azacytidine potentiates initiation induced by carcinogens in rat liver.,226,Yes,Yes,Yes
11532387,Withdrawal-emergent rabbit syndrome during dose reduction of risperidone.,86,Yes,Yes,Yes
3173179,Verapamil withdrawal as a possible cause of myocardial infarction in a hypertensive woman with a nor...,80,Yes,Yes,Yes
3856631,Remission induction of meningeal leukemia with high-dose intravenous methotrexate.,196,Yes,Yes,Yes
2522601,"Hypersensitivity to carbamazepine presenting with a leukemoid reaction, eosinophilia, erythroderma, ...",34,Yes,Yes,Yes
8741744,The interpeduncular nucleus regulates nicotine's effects on free-field activity.,103,Yes,Yes,Yes
17491223,Assessment of a new non-invasive index of cardiac performance for detection of dobutamine-induced my...,213,Yes,Yes,Yes
18004067,Acute liver failure in two patients with regular alcohol consumption ingesting paracetamol at therap...,136,Yes,Yes,Yes
12443032,Cocaine related chest pain: are we seeing the tip of an iceberg?,90,Yes,Yes,Yes
17615423,"Severe rhabdomyolysis and acute renal failure secondary to concomitant use of simvastatin, amiodaron...",265,Yes,Yes,Yes
8558192,Phase II trial of vinorelbine in metastatic squamous cell esophageal carcinoma. European Organizatio...,244,Yes,Yes,Yes
11135224,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeut...",304,Yes,Yes,Yes
8590259,Evaluation of adverse reactions of aponidine hydrochloride ophthalmic solution.,187,Yes,Yes,Yes
2096243,Carmofur-induced organic mental disorders.,107,Yes,Yes,Yes
6209318,International mexiletine and placebo antiarrhythmic coronary trial: I. Report on arrhythmia and othe...,195,Yes,Yes,Yes
3615541,Regional localization of the antagonism of amphetamine-induced hyperactivity by intracerebral calcit...,113,Yes,Yes,Yes
8953972,Fatal intracranial bleeding associated with prehospital use of epinephrine.,90,Yes,Yes,Yes
3782049,A case of massive rhabdomyolysis following molindone administration.,57,Yes,Yes,Yes
9100294,Cardiovascular alterations in rat fetuses exposed to calcium channel blockers.,141,Yes,Yes,Yes
19889778,Differential impact of immune escape mutations G145R and P120T on the replication of lamivudine-resi...,257,Yes,Yes,Yes
15278670,The effects of sevoflurane on lidocaine-induced convulsions.,204,Yes,Yes,Yes
17042910,Anti-oxidant effects of atorvastatin in dexamethasone-induced hypertension in the rat.,303,Yes,Yes,Yes
11897407,99mTc-glucarate for detection of isoproterenol-induced myocardial infarction in rats.,167,Yes,Yes,Yes
9812111,"A randomized, placebo-controlled dose-comparison trial of haloperidol for psychosis and disruptive b...",271,Yes,Yes,Yes
15572383,Individual differences in renal ACE activity in healthy rats predict susceptibility to adriamycin-in...,253,Yes,Yes,Yes
7420681,Clinical nephrotoxicity of tobramycin and gentamicin. A prospective study.,128,Yes,Yes,Yes
12907309,"Neuroprotective action of MPEP, a selective mGluR5 antagonist, in methamphetamine-induced dopaminerg...",202,Yes,Yes,Yes
16680561,Pharmacokinetics of desipramine HCl when administered with cinacalcet HCl.,226,Yes,Yes,Yes
17532790,Proteomic analysis of striatal proteins in the rat model of L-DOPA-induced dyskinesia.,198,Yes,Yes,Yes
7582165,Pseudo-allergic reactions to corticosteroids: diagnosis and alternatives.,197,Yes,Yes,Yes
16787750,Valproic acid induced encephalopathy--19 new cases in Germany from 1994 to 2003--a side effect assoc...,98,Yes,Yes,Yes
3173180,Haemolytic-uraemic syndrome after treatment with metronidazole.,91,Yes,Yes,Yes
8996652,Risk factors of sensorineural hearing loss in preterm infants.,116,Yes,Yes,Yes
84204,Pharmacokinetic and clinical studies in patients with cimetidine-associated mental confusion.,161,Yes,Yes,Yes
9862868,Different lobular distributions of altered hepatocyte tight junctions in rat models of intrahepatic ...,231,Yes,Yes,Yes
15515654,Long term audiological evaluation of beta-thalassemic patients.,232,Yes,Yes,Yes
2024540,Design and analysis of the HYPREN-trial: safety of enalapril and prazosin in the initial treatment p...,137,Yes,Yes,Yes
12090760,Antagonism between interleukin 3 and erythropoietin in mice with azidothymidine-induced anemia and i...,195,Yes,Yes,Yes
7516729,Interactive effects of variations in [Na]o and [Ca]o on rat atrial spontaneous frequency.,271,Yes,Yes,Yes
2802551,Sodium status influences chronic amphotericin B nephrotoxicity in rats.,197,Yes,Yes,Yes
19346865,Reversible inferior colliculus lesion in metronidazole-induced encephalopathy: magnetic resonance fi...,269,Yes,Yes,Yes
2334618,Comparison of the respiratory effects of i.v. infusions of morphine and regional analgesia by extrad...,117,Yes,Yes,Yes
8864707,Magnetic resonance volumetry of the cerebellum in epileptic patients after phenytoin overdosages.,208,Yes,Yes,Yes
12589964,Evaluation of cardiac troponin I and T levels as markers of myocardial damage in doxorubicin-induced...,475,Yes,Yes,Yes
11263551,Calcineurin-inhibitor induced pain syndrome (CIPS): a severe disabling complication after organ tran...,162,Yes,Yes,Yes
10520387,The haemodynamic effects of propofol in combination with ephedrine in elderly patients (ASA groups 3...,146,Yes,Yes,Yes
230316,Neurotoxicity of halogenated hydroxyquinolines: clinical analysis of cases reported outside Japan.,195,Yes,Yes,Yes
11807648,Epileptic seizures following cortical application of fibrin sealants containing tranexamic acid in r...,214,Yes,Yes,Yes
14596845,A diet promoting sugar dependency causes behavioral cross-sensitization to a low dose of amphetamine...,239,Yes,Yes,Yes
6666578,D-penicillamine-induced angiopathy in rats. The effect of high dose D-penicillamine treatment on aor...,233,Yes,Yes,Yes
11279304,Brain natriuretic peptide is a predictor of anthracycline-induced cardiotoxicity.,225,Yes,Yes,Yes
19884587,Antibacterial medication use during pregnancy and risk of birth defects: National Birth Defects Prev...,273,Yes,Yes,Yes
3970039,Incidence of neoplasms in patients with rheumatoid arthritis exposed to different treatment regimens...,219,Yes,Yes,Yes
424937,Patterns of hepatic injury induced by methyldopa.,220,Yes,Yes,Yes
8643971,A phase I/II study of paclitaxel plus cisplatin as first-line therapy for head and neck cancers: pre...,372,Yes,Yes,Yes
2224762,A phase I study of 4'-0-tetrahydropyranyladriamycin. Clinical pharmacology and pharmacokinetics.,242,Yes,Yes,Yes
2440413,Differential effects of gamma-hexachlorocyclohexane (lindane) on pharmacologically-induced seizures.,230,Yes,Yes,Yes
12483326,Severe ocular and orbital toxicity after intracarotid injection of carboplatin for recurrent gliobla...,234,Yes,Yes,Yes
1664218,Phase II study of the amsacrine analogue CI-921 (NSC 343499) in non-small cell lung cancer.,171,Yes,Yes,Yes
18809400,Alpha-lipoic acid prevents mitochondrial damage and neurotoxicity in experimental chemotherapy neuro...,221,Yes,Yes,Yes
17020434,Optimising stroke prevention in non-valvular atrial fibrillation.,183,Yes,Yes,Yes
3865016,Interaction of cyclosporin A with antineoplastic agents.,91,Yes,Yes,Yes
3629586,The hematologic effects of cefonicid and cefazedone in the dog: a potential model of cephalosporin h...,245,Yes,Yes,Yes
150790,A pyridoxine-dependent behavioral disorder unmasked by isoniazid.,116,Yes,Yes,Yes
10579464,"A selective dopamine D4 receptor antagonist, NRA0160: a preclinical neuropharmacological profile.",195,Yes,Yes,Yes
3496378,Prolonged cholestasis after troleandomycin-induced acute hepatitis.,85,Yes,Yes,Yes
3076126,HMG CoA reductase inhibitors. Current clinical experience.,263,Yes,Yes,Yes
2894766,Sulfasalazine-induced lupus erythematosus.,95,Yes,Yes,Yes
1549199,Optimization of levodopa therapy.,135,Yes,Yes,Yes
88336,Alpha and beta coma in drug intoxication uncomplicated by cerebral hypoxia.,163,Yes,Yes,Yes
18544179,"Omitting fentanyl reduces nausea and vomiting, without increasing pain, after sevoflurane for day su...",282,Yes,Yes,Yes
18186898,Renal Fanconi syndrome and myopathy after liver transplantation: drug-related mitochondrial cytopath...,163,Yes,Yes,Yes
16867021,"Antipsychotic-like profile of thioperamide, a selective H3-receptor antagonist in mice.",258,Yes,Yes,Yes
14976857,Transient platypnea-orthodeoxia-like syndrome induced by propafenone overdose in a young woman with ...,128,Yes,Yes,Yes
11745184,A Phase II trial of cisplatin plus WR-2721 (amifostine) for metastatic breast carcinoma: an Eastern ...,313,Yes,Yes,Yes
3985451,Warfarin-induced iliopsoas hemorrhage with subsequent femoral nerve palsy.,89,Yes,Yes,Yes
3750012,Myasthenia gravis caused by penicillamine and chloroquine therapy for rheumatoid arthritis.,37,Yes,Yes,Yes
1130930,Nephrotoxicity of combined cephalothin-gentamicin regimen.,66,Yes,Yes,Yes
19356307,Components of lemon essential oil attenuate dementia induced by scopolamine.,123,Yes,Yes,Yes
15957009,The selective 5-HT6 receptor antagonist Ro4368554 restores memory performance in cholinergic and ser...,183,Yes,Yes,Yes
15899738,Lone atrial fibrillation associated with creatine monohydrate supplementation.,260,Yes,Yes,Yes
15863244,Comparison of developmental toxicity of selective and non-selective cyclooxygenase-2 inhibitors in C...,266,Yes,Yes,Yes
12921865,Protective efficacy of neuroactive steroids against cocaine kindled-seizures in mice.,194,Yes,Yes,Yes
12584269,"Kidney function and morphology after short-term combination therapy with cyclosporine A, tacrolimus ...",331,Yes,Yes,Yes
10406016,Effect of fucoidan treatment on collagenase-induced intracerebral hemorrhage in rats.,183,Yes,Yes,Yes
3403780,"Paracetamol-associated coma, metabolic acidosis, renal and hepatic failure.",39,Yes,Yes,Yes
3101906,Hepatic reactions associated with ketoconazole in the United Kingdom.,253,Yes,Yes,Yes
9088814,Combined effects of prolonged prostaglandin E1-induced hypotension and haemodilution on human hepati...,222,Yes,Yes,Yes
20880751,Levodopa-induced dyskinesias in patients with Parkinson's disease: filling the bench-to-bedside gap.,121,Yes,Yes,Yes
20080419,Prevention of seizures and reorganization of hippocampal functions by transplantation of bone marrow...,189,Yes,Yes,Yes
19445921,Cardioprotective effect of salvianolic acid A on isoproterenol-induced myocardial infarction in rats...,200,Yes,Yes,Yes
18439803,Acute effects of N-(2-propylpentanoyl)urea on hippocampal amino acid neurotransmitters in pilocarpin...,234,Yes,Yes,Yes
17919553,Acute hepatitis attack after exposure to telithromycin.,272,Yes,Yes,Yes
15632880,Spironolactone-induced renal insufficiency and hyperkalemia in patients with heart failure.,253,Yes,Yes,Yes
11773892,End-stage renal disease (ESRD) after orthotopic liver transplantation (OLTX) using calcineurin-based...,390,Yes,Yes,Yes
10835440,Effect of intravenous nimodipine on blood pressure and outcome after acute stroke.,282,Yes,Yes,Yes
9523805,Transient neurologic symptoms after spinal anesthesia: a lower incidence with prilocaine and bupivac...,269,Yes,Yes,Yes
9245658,The role of nicotine in smoking-related cardiovascular disease.,148,Yes,Yes,Yes
9034419,Seizure resulting from a venlafaxine overdose.,118,Yes,Yes,Yes
8829025,Effect of nifedipine on renal function in liver transplant recipients receiving tacrolimus.,118,Yes,Yes,Yes
8437969,Sinus arrest associated with continuous-infusion cimetidine.,72,Yes,Yes,Yes
7890216,Composition of gall bladder stones associated with octreotide: response to oral ursodeoxycholic acid...,274,Yes,Yes,Yes
7468724,Cardiovascular complications associated with terbutaline treatment for preterm labor.,34,Yes,Yes,Yes
7199841,"Neurologic effects of subarachnoid administration of 2-chloroprocaine-CE, bupivacaine, and low pH no...",165,Yes,Yes,Yes
6640832,Early adjuvant adriamycin in superficial bladder carcinoma.,237,Yes,Yes,Yes
3560096,Hyperkalemia associated with sulindac therapy.,127,Yes,Yes,Yes
3358181,Ventricular tachyarrhythmias during cesarean section after ritodrine therapy: interaction with anest...,103,Yes,Yes,Yes
2887062,"Immunohistochemical, electron microscopic and morphometric studies of estrogen-induced rat prolactin...",236,Yes,Yes,Yes
2425813,"On two paradoxical side-effects of prednisolone in rats, ribosomal RNA biosyntheses, and a mechanism...",89,Yes,Yes,Yes
2375138,Possible intramuscular midazolam-associated cardiorespiratory arrest and death.,57,Yes,Yes,Yes
2265898,Serial epilepsy caused by levodopa/carbidopa administration in two patients on hemodialysis.,84,Yes,Yes,Yes
2071257,Effect of L-alpha-glyceryl-phosphorylcholine on amnesia caused by scopolamine.,95,Yes,Yes,Yes
1592014,Seizures induced by the cocaine metabolite benzoylecgonine in rats.,212,Yes,Yes,Yes
1436384,Protection against amphetamine-induced neurotoxicity toward striatal dopamine neurons in rodents by ...,240,Yes,Yes,Yes
1085609,Neonatal pyridoxine responsive convulsions due to isoniazid therapy.,52,Yes,Yes,Yes
809711,Reversal by phenylephrine of the beneficial effects of intravenous nitroglycerin in patients with ac...,177,Yes,Yes,Yes
20621845,"Elevation of ADAM10, ADAM17, MMP-2 and MMP-9 expression with media degeneration features CaCl2-induc...",222,Yes,Yes,Yes
19843802,When drugs disappear from the patient: elimination of intravenous medication by hemodiafiltration.,101,Yes,Yes,Yes
19473225,Long-term glutamate supplementation failed to protect against peripheral neurotoxicity of paclitaxel...,200,Yes,Yes,Yes
19387625,Attentional modulation of perceived pain intensity in capsaicin-induced secondary hyperalgesia.,98,Yes,Yes,Yes
19211690,Testosterone-dependent hypertension and upregulation of intrarenal angiotensinogen in Dahl salt-sens...,224,Yes,Yes,Yes
18703024,Prenatal protein deprivation alters dopamine-mediated behaviors and dopaminergic and glutamatergic r...,179,Yes,Yes,Yes
18631865,"mToR inhibitors-induced proteinuria: mechanisms, significance, and management.",124,Yes,Yes,Yes
18162529,"Hypothalamic prolactin receptor messenger ribonucleic acid levels, prolactin signaling, and hyperpro...",248,Yes,Yes,Yes
17879945,Estrogen prevents cholesteryl ester accumulation in macrophages induced by the HIV protease inhibito...,276,Yes,Yes,Yes
17437408,Upregulation of brain expression of P-glycoprotein in MRP2-deficient TR(-) rats resembles seizure-in...,411,Yes,Yes,Yes
17242861,Use of chromosome substitution strains to identify seizure susceptibility loci in mice.,203,Yes,Yes,Yes
16337777,Investigation of mitochondrial involvement in the experimental model of epilepsy induced by pilocarp...,196,Yes,Yes,Yes
15859940,Causes of acute thrombotic microangiopathy in patients receiving kidney transplantation.,243,Yes,Yes,Yes
15188772,Severe reversible left ventricular systolic and diastolic dysfunction due to accidental iatrogenic e...,93,Yes,Yes,Yes
15130900,Urinary bladder cancer in Wegener's granulomatosis: risks and relation to cyclophosphamide.,258,Yes,Yes,Yes
12707296,L-arginine transport in humans with cortisol-induced hypertension.,242,Yes,Yes,Yes
12695819,MR imaging with quantitative diffusion mapping of tacrolimus-induced neurotoxicity in organ transpla...,172,Yes,Yes,Yes
12596116,Octreotide-induced hypoxemia and pulmonary hypertension in premature neonates.,52,Yes,Yes,Yes
11875660,Sequential observations of exencephaly and subsequent morphological changes by mouse exo utero devel...,255,Yes,Yes,Yes
11166519,Acute cocaine-induced seizures: differential sensitivity of six inbred mouse strains.,142,Yes,Yes,Yes
8701950,Microangiopathic hemolytic anemia complicating FK506 (tacrolimus) therapy.,94,Yes,Yes,Yes
7292072,Variant ventricular tachycardia in desipramine toxicity.,63,Yes,Yes,Yes
4027862,"Desipramine-induced delirium at ""subtherapeutic"" concentrations: a case report.",80,Yes,Yes,Yes
2484011,Mouse strain-dependent effect of amantadine on motility and brain biogenic amines.,294,Yes,Yes,Yes
2396046,No enhancement by phenobarbital of the hepatocarcinogenicity of a choline-devoid diet in the rat.,143,Yes,Yes,Yes
2008831,Effect of direct intracoronary administration of methylergonovine in patients with and without varia...,159,Yes,Yes,Yes
1732369,Dobutamine stress echocardiography: a sensitive indicator of diminished myocardial function in asymp...,259,Yes,Yes,Yes
234669,Effects of aminophylline on the threshold for initiating ventricular fibrillation during respiratory...,191,Yes,Yes,Yes
16740173,Case report: acute unintentional carbachol intoxication.,350,Yes,Yes,Yes
12464714,Crossover comparison of efficacy and preference for rizatriptan 10 mg versus ergotamine/caffeine in ...,327,Yes,Yes,Yes
6203452,Thrombotic microangiopathy and renal failure associated with antineoplastic chemotherapy.,133,Yes,Yes,Yes
20528871,"Salvage therapy with nelarabine, etoposide, and cyclophosphamide in relapsed/refractory paediatric T...",131,Yes,Yes,Yes
11672959,The 3-week sulphasalazine syndrome strikes again.,151,Yes,Yes,Yes
11928786,Bupropion (Zyban) toxicity.,149,Yes,Yes,Yes
7977601,Survey of complications of indocyanine green angiography in Japan.,214,Yes,Yes,Yes
19300402,Bradykinin receptors antagonists and nitric oxide synthase inhibitors in vincristine and streptozoto...,264,Yes,Yes,Yes
15325671,Cardiac toxicity observed in association with high-dose cyclophosphamide-based chemotherapy for meta...,207,Yes,Yes,Yes
9746003,Inappropriate use of carbamazepine and vigabatrin in typical absence seizures.,97,Yes,Yes,Yes
1992636,Hemolytic anemia associated with the use of omeprazole.,158,Yes,Yes,Yes
8387218,The use and toxicity of didanosine (ddI) in HIV antibody-positive individuals intolerant to zidovudi...,204,Yes,Yes,Yes
20698227,Can angiogenesis be a target of treatment for ribavirin associated hemolytic anemia?,202,Yes,Yes,Yes
20477932,Cocaine causes memory and learning impairments in rats: involvement of nuclear factor kappa B and ox...,202,Yes,Yes,Yes
9495837,Antinociceptive and antiamnesic properties of the presynaptic cholinergic amplifier PG-9.,250,Yes,Yes,Yes
1468485,Hyperbaric oxygen therapy for control of intractable cyclophosphamide-induced hemorrhagic cystitis.,99,Yes,Yes,Yes
1009330,Further studies on effects of irrigation solutions on rat bladders.,87,Yes,Yes,Yes
347884,Clinical experiences in an open and a double-blind trial.,187,Yes,Yes,Yes
20667451,Curcumin ameliorates cognitive dysfunction and oxidative damage in phenobarbitone and carbamazepine ...,244,Yes,Yes,Yes
19767176,Pyrrolidine dithiocarbamate protects the piriform cortex in the pilocarpine status epilepticus model...,242,Yes,Yes,Yes
16330293,Safety profile of a nicotine lozenge compared with that of nicotine gum in adult smokers with underl...,396,Yes,Yes,Yes
14568327,Development of levodopa-induced dyskinesias in parkinsonian monkeys may depend upon rate of symptom ...,205,Yes,Yes,Yes
11250767,Propylthiouracil-induced perinuclear-staining antineutrophil cytoplasmic autoantibody-positive vascu...,134,Yes,Yes,Yes
11206082,Two mouse lines selected for differential sensitivities to beta-carboline-induced seizures are also ...,120,Yes,Yes,Yes
11027905,"Analgesic effect of intravenous ketamine in cancer patients on morphine therapy: a randomized, contr...",266,Yes,Yes,Yes
9334596,"Endocrine screening in 1,022 men with erectile dysfunction: clinical significance and cost-effective...",469,Yes,Yes,Yes
8595686,Thiopentone pretreatment for propofol injection pain in ambulatory patients.,224,Yes,Yes,Yes
6466532,Comparison of i.v. glycopyrrolate and atropine in the prevention of bradycardia and arrhythmias foll...,137,Yes,Yes,Yes
6308277,Reduction in caffeine toxicity by acetaminophen.,224,Yes,Yes,Yes
2870085,Flestolol: an ultra-short-acting beta-adrenergic blocking agent.,179,Yes,Yes,Yes
1639466,Adverse effect of the calcium channel blocker nitrendipine on nephrosclerosis in rats with renovascu...,250,Yes,Yes,Yes
1527456,Treatment of tinnitus by intratympanic instillation of lignocaine (lidocaine) 2 per cent through ven...,141,Yes,Yes,Yes
220563,Perhexiline maleate and peripheral neuropathy.,104,Yes,Yes,Yes
137340,Effect of humoral modulators of morphine-induced increase in locomotor activity of mice.,187,Yes,Yes,Yes
9931093,Mechanisms of FK 506-induced hypertension in the rat.,209,Yes,Yes,Yes
20633755,Suxamethonium induced prolonged apnea in a patient receiving electroconvulsive therapy.,53,Yes,Yes,Yes
20067456,The effects of the adjunctive bupropion on male sexual dysfunction induced by a selective serotonin ...,285,Yes,Yes,Yes
18464113,Lamivudine for the prevention of hepatitis B virus reactivation in hepatitis-B surface antigen (HBSA...,272,Yes,Yes,Yes
18308784,Ginsenoside Rg1 restores the impairment of learning induced by chronic morphine administration in ra...,232,Yes,Yes,Yes
17931375,A study on the effect of the duration of subcutaneous heparin injection on bruising and pain.,276,Yes,Yes,Yes
15649445,Acute reserpine and subchronic haloperidol treatments change synaptosomal brain glutamate uptake and...,181,Yes,Yes,Yes
14698717,Acute psychosis due to treatment with phenytoin in a nonepileptic patient.,67,Yes,Yes,Yes
12617329,The effect of treatment with gum Arabic on gentamicin nephrotoxicity in rats: a preliminary study.,233,Yes,Yes,Yes
12523465,Visual hallucinations associated with zonisamide.,150,Yes,Yes,Yes
11961407,GLEPP1 receptor tyrosine phosphatase (Ptpro) in rat PAN nephrosis. A marker of acute podocyte injury...,276,Yes,Yes,Yes
9401499,Ticlopidine-induced aplastic anemia: report of three Chinese patients and review of the literature.,152,Yes,Yes,Yes
2273650,Facilitation of memory retrieval by pre-test morphine and its state dependency in the step-through t...,80,Yes,Yes,Yes
10683478,Test conditions influence the response to a drug challenge in rodents.,226,Yes,Yes,Yes
